,Año,Trimestre,Provincia,+ 30 Mbps,Total,menos_30mbps,year_trim
736,2015,1,Salta,5,96810,82985,15_1
435,2018,1,Chaco,3897,96782,67992,18_1
459,2017,4,Chaco,3289,96471,62128,17_4
378,2018,4,San Luis,2,96331,22634,18_4
268,2019,4,Chubut,614,96102,78764,19_4
759,2014,4,Río Negro,30,95904,92540,14_4
686,2015,3,Neuquén,155,95867,95520,15_3
807,2014,2,Río Negro,8,95610,95542,14_2
831,2014,1,Río Negro,8,94736,90461,14_1
438,2018,1,Corrientes,3256,94420,61924,18_1
225,2020,2,Jujuy,9417,94316,61837,20_2
249,2020,1,Jujuy,7349,94089,63843,20_1
760,2014,4,Salta,4,93967,81897,14_4
462,2017,4,Corrientes,2675,93771,62811,17_4
202,2020,3,La Pampa,6322,93735,85491,20_3
460,2017,4,Chubut,9,93432,88779,17_4
784,2014,3,Salta,0,92941,94707,14_3
637,2016,1,Misiones,68,92927,89306,16_1
661,2015,4,Misiones,52,92855,77907,15_4
483,2017,3,Chaco,2004,92796,68639,17_3
486,2017,3,Corrientes,1607,92561,68385,17_3
710,2015,2,Neuquén,110,92324,92018,15_2
808,2014,2,Salta,0,91992,87668,14_2
685,2015,3,Misiones,43,91624,87867,15_3
357,2019,1,Santiago Del Estero,494,91535,71466,19_1
832,2014,1,Salta,0,91297,87408,14_1
298,2019,3,La Pampa,941,90826,84478,19_3
507,2017,2,Chaco,545,90609,69434,17_2
274,2019,4,La Pampa,1342,90399,86045,19_4
322,2019,2,La Pampa,629,90223,83866,19_2
292,2019,3,Chubut,614,90152,79115,19_3
369,2018,4,Jujuy,1141,90133,38121,18_4
510,2017,2,Corrientes,647,90094,67806,17_2
226,2020,2,La Pampa,3377,89809,83943,20_2
734,2015,1,Neuquén,76,89574,89346,15_1
579,2016,3,Chaco,217,89416,69716,16_3
381,2018,4,Santiago Del Estero,483,89335,66518,18_4
316,2019,2,Chubut,165,89333,75879,19_2
758,2014,4,Neuquén,66,89228,89054,14_4
250,2020,1,La Pampa,2113,89145,88151,20_1
531,2017,1,Chaco,314,89047,68985,17_1
297,2019,3,Jujuy,3671,88981,68237,19_3
273,2019,4,Jujuy,5286,88881,61254,19_4
555,2016,4,Chaco,250,88854,69000,16_4
534,2017,1,Corrientes,303,88605,62415,17_1
709,2015,2,Misiones,33,88524,76439,15_2
582,2016,3,Corrientes,210,88346,68315,16_3
603,2016,2,Chaco,201,88291,58636,16_2
65,2022,1,San Juan,11916,88178,62117,22_1
558,2016,4,Corrientes,234,88093,67807,16_4
782,2014,3,Neuquén,27,87720,87676,14_3
346,2019,1,La Pampa,405,87085,83640,19_1
606,2016,2,Corrientes,191,87020,75225,16_2
11,2022,3,La Rioja,50390,86864,39462,22_3
321,2019,2,Jujuy,2600,86733,36440,19_2
627,2016,1,Chaco,184,86650,68824,16_1
651,2015,4,Chaco,159,86553,69532,15_4
806,2014,2,Neuquén,30,86237,86133,14_2
405,2018,3,Santiago Del Estero,265,86102,65371,18_3
35,2022,2,La Rioja,48920,86030,39934,22_2
370,2018,4,La Pampa,270,85636,91753,18_4
630,2016,1,Corrientes,170,85534,62363,16_1
654,2015,4,Corrientes,150,85433,71771,15_4
675,2015,3,Chaco,157,85374,77172,15_3
733,2015,1,Misiones,26,85150,83105,15_1
678,2015,3,Corrientes,146,84959,71019,15_3
59,2022,1,La Rioja,45970,84303,40805,22_1
453,2018,1,Santiago Del Estero,2,84236,45778,18_1
830,2014,1,Neuquén,22,83958,92753,14_1
699,2015,2,Chaco,149,83846,75706,15_2
429,2018,2,Santiago Del Estero,31,83770,48077,18_2
